Date,Price,Open,High,Low,Vol.,Change %
3/13/2023,"24,187.00","22,079.00","24,560.00","21,891.00",7.01K,9.55%
3/12/2023,"22,079.00","20,538.00","22,132.00","20,363.00",5.61K,7.50%
3/11/2023,"20,538.00","20,201.00","20,783.00","19,874.00",6.80K,1.67%
3/10/2023,"20,201.00","20,378.00","20,381.00","19,592.00",4.64K,-0.87%
3/9/2023,"20,378.00","21,712.00","21,835.00","20,096.00",3.79K,-6.14%
3/8/2023,"21,712.00","22,209.00","22,286.00","21,622.00",1.75K,-2.24%
3/7/2023,"22,209.00","22,404.00","22,552.00","21,967.00",1.84K,-0.87%
3/6/2023,"22,404.00","22,431.00","22,586.00","22,315.00",0.89K,-0.12%
3/5/2023,"22,431.00","22,346.00","22,650.00","22,225.00",0.43K,0.38%
3/4/2023,"22,346.00","22,363.00","22,405.00","22,176.00",0.41K,-0.08%
3/3/2023,"22,363.00","23,472.00","23,482.00","22,003.00",2.99K,-4.72%
3/2/2023,"23,472.00","23,646.00","23,792.00","23,208.00",0.70K,-0.74%
3/1/2023,"23,646.00","23,134.00","23,979.00","23,037.00",1.37K,2.21%
2/28/2023,"23,134.00","23,504.00","23,609.00","23,067.00",1.44K,-1.57%
2/27/2023,"23,504.00","23,560.00","23,891.00","23,167.00",1.84K,-0.24%
2/26/2023,"23,560.00","23,177.00","23,669.00","23,083.00",0.77K,1.65%
2/25/2023,"23,177.00","23,201.00","23,222.00","22,810.00",1.12K,-0.10%
2/24/2023,"23,201.00","23,947.00","24,150.00","22,911.00",3.45K,-3.12%
2/23/2023,"23,947.00","24,186.00","24,598.00","23,625.00",2.24K,-0.99%
2/22/2023,"24,186.00","24,460.00","24,485.00","23,586.00",3.34K,-1.12%
2/21/2023,"24,460.00","24,831.00","25,162.00","24,177.00",3.55K,-1.49%
2/20/2023,"24,831.00","24,294.00","25,114.00","23,867.00",2.02K,2.21%
2/19/2023,"24,294.00","24,633.00","25,200.00","24,246.00",2.72K,-1.38%
2/18/2023,"24,633.00","24,579.00","24,853.00","24,450.00",0.63K,0.22%
2/17/2023,"24,579.00","23,535.00","25,018.00","23,362.00",4.17K,4.44%
2/16/2023,"23,535.00","24,318.00","25,232.00","23,527.00",4.64K,-3.22%
2/15/2023,"24,318.00","22,198.00","24,350.00","22,082.00",2.37K,9.55%
2/14/2023,"22,198.00","21,773.00","22,311.00","21,578.00",1.44K,1.95%
2/13/2023,"21,773.00","21,796.00","21,902.00","21,404.00",3.08K,-0.11%
2/12/2023,"21,796.00","21,866.00","22,095.00","21,667.00",1.26K,-0.32%
2/11/2023,"21,866.00","21,643.00","21,903.00","21,614.00",0.36K,1.03%
2/10/2023,"21,643.00","21,800.00","21,937.00","21,500.00",1.47K,-0.72%
2/9/2023,"21,800.00","22,959.00","23,002.00","21,710.00",3.31K,-5.05%
2/8/2023,"22,959.00","23,251.00","23,430.00","22,691.00",1.35K,-1.26%
2/7/2023,"23,251.00","22,755.00","23,350.00","22,744.00",1.20K,2.18%
2/6/2023,"22,755.00","22,936.00","23,145.00","22,639.00",1.08K,-0.79%
2/5/2023,"22,936.00","23,315.00","23,419.00","22,799.00",1.44K,-1.63%
2/4/2023,"23,315.00","23,433.00","23,580.00","23,253.00",0.58K,-0.50%
2/3/2023,"23,433.00","23,485.00","23,700.00","23,230.00",1.92K,-0.22%
2/2/2023,"23,485.00","23,723.00","24,239.00","23,395.00",2.83K,-1.00%
2/1/2023,"23,723.00","23,135.00","23,802.00","22,800.00",2.13K,2.54%
1/31/2023,"23,135.00","22,837.00","23,286.00","22,730.00",1.99K,1.30%
1/30/2023,"22,837.00","23,746.00","23,784.00","22,516.00",2.95K,-3.83%
1/29/2023,"23,746.00","23,029.00","23,962.00","23,000.00",4.24K,3.11%
1/28/2023,"23,029.00","23,067.00","23,181.00","22,885.00",1.41K,-0.16%
1/27/2023,"23,067.00","23,004.00","23,475.00","22,539.00",2.25K,0.27%
1/26/2023,"23,004.00","23,045.00","23,273.00","22,859.00",1.40K,-0.18%
1/25/2023,"23,045.00","22,627.00","23,812.00","22,334.00",3.74K,1.85%
1/24/2023,"22,627.00","22,910.00","23,154.00","22,479.00",1.88K,-1.24%
1/23/2023,"22,910.00","22,713.00","23,169.00","22,520.00",1.86K,0.87%
1/22/2023,"22,713.00","22,766.00","23,071.00","22,321.00",1.52K,-0.23%
1/21/2023,"22,766.00","22,672.00","23,312.00","22,443.00",3.60K,0.41%
1/20/2023,"22,672.00","21,080.00","22,742.00","20,879.00",2.88K,7.55%
1/19/2023,"21,080.00","20,678.00","21,181.00","20,670.00",0.90K,1.94%
1/18/2023,"20,678.00","21,136.00","21,632.00","20,435.00",3.19K,-2.17%
1/17/2023,"21,136.00","21,196.00","21,518.00","20,905.00",2.06K,-0.28%
1/16/2023,"21,196.00","20,882.00","21,433.00","20,651.00",3.25K,1.50%
1/15/2023,"20,882.00","20,963.00","21,048.00","20,583.00",1.54K,-0.39%
1/14/2023,"20,963.00","19,933.00","21,300.00","19,897.00",6.06K,5.17%
1/13/2023,"19,933.00","18,857.00","19,989.00","18,725.00",3.03K,5.71%
1/12/2023,"18,857.00","17,946.00","19,070.00","17,920.00",5.32K,5.08%
1/11/2023,"17,946.00","17,445.00","17,998.00","17,319.00",2.23K,2.87%
1/10/2023,"17,445.00","17,188.00","17,503.00","17,155.00",0.81K,1.50%
1/9/2023,"17,188.00","17,139.00","17,399.00","17,123.00",1.58K,0.29%
1/8/2023,"17,139.00","16,958.00","17,174.00","16,930.00",0.81K,1.07%
1/7/2023,"16,958.00","16,967.00","16,990.00","16,925.00",0.28K,-0.05%
1/6/2023,"16,967.00","16,842.00","17,045.00","16,705.00",1.82K,0.74%
1/5/2023,"16,842.00","16,868.00","16,888.00","16,778.00",0.57K,-0.15%
1/4/2023,"16,868.00","16,689.00","16,998.00","16,671.00",1.12K,1.07%
1/3/2023,"16,689.00","16,690.00","16,807.00","16,625.00",1.58K,-0.01%
1/2/2023,"16,690.00","16,643.00","16,802.00","16,584.00",0.60K,0.28%
1/1/2023,"16,643.00","16,564.00","16,644.00","16,517.00",0.24K,0.48%
12/31/2022,"16,564.00","16,618.00","16,660.00","16,515.00",0.60K,-0.32%
12/30/2022,"16,618.00","16,658.00","16,659.00","16,380.00",1.30K,-0.24%
12/29/2022,"16,658.00","16,558.00","16,675.00","16,505.00",0.42K,0.60%
12/28/2022,"16,558.00","16,719.00","16,796.00","16,490.00",1.59K,-0.96%
12/27/2022,"16,719.00","16,946.00","16,987.00","16,631.00",0.94K,-1.34%
12/26/2022,"16,946.00","16,847.00","16,958.00","16,814.00",0.32K,0.59%
12/25/2022,"16,847.00","16,864.00","16,874.00","16,760.00",0.38K,-0.10%
12/24/2022,"16,864.00","16,802.00","16,880.00","16,802.00",0.40K,0.37%
12/23/2022,"16,802.00","16,838.00","16,942.00","16,788.00",0.53K,-0.21%
12/22/2022,"16,838.00","16,845.00","16,873.00","16,588.00",0.77K,-0.04%
12/21/2022,"16,845.00","16,925.00","16,934.00","16,755.00",0.79K,-0.47%
12/20/2022,"16,925.00","16,448.00","17,057.00","16,413.00",1.46K,2.90%
12/19/2022,"16,448.00","16,757.00","16,825.00","16,320.00",2.04K,-1.84%
